fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,04,ASSAM,0412,Morigaon,961742,266.162940903035,17,28,0,17190,0,21875,449617,55012,29027,61738,33711,0,1196.71383,26175,36097,146056,269820,0,236322,396417,39065,1196.71383,233051,94,27.9,28.69,99.87,NA
2024-2025,July,04,ASSAM,0419,KARBI ANGLONG,444478,244.118870851743,26,25,66.4416868429993,1642,1,18230,805067,25347,9235,661316,128666,0,2031.762156843,30057,35658,90780,171907,12,156916,271522,19872,1965.32047,519461,78,49.47,38.82,99.9,NA
2024-2025,July,04,ASSAM,0423,CACHAR,1104820,257.946191135734,20,9,0,9123,0,43518,231040,26601,14526,3785,3309,0,595.95888,11396,12154,164250,214377,0,376591,463149,52641,595.95888,99679,93,19.24,2.57,99.91,NA
2024-2025,July,04,ASSAM,0425,CHIRANG,769269,244.293554642289,26,14,429.334324959,7379,0,24146,263523,15057,12276,156521,84296,0,1073.104028959,9966,13470,83668,185589,0,140002,291669,31525,643.769704,150540,94,10.31,0.92,99.81,NA
2024-2025,July,04,ASSAM,0426,KAMRUP (METRO),200996,245.345584223763,29,0,0,1003,0,4084,75151,19011,7597,18488,10064,0,184.37966,2573,3169,15858,34064,1,51492,96310,5087,184.37966,45413,93,18.17,1.86,100.05,NA
2024-2025,July,04,ASSAM,0430,CHARAIDEO,411336,253.362477165309,17,21,61.6995893300001,553,0,2113,137948,1373,1300,2924,1983,0,411.20805933,7760,9349,42794,74919,31,84740,133390,2666,349.50847,79086,58,71.88,9.79,99.96,NA
2024-2025,July,04,ASSAM,0432,MAJULI,254462,249.630653253242,18,18,0,1401,0,7646,191947,22132,5867,94955,24957,0,479.15855,10325,15130,28911,51563,0,34669,59000,9047,479.15855,91678,94,21.8,10.55,99.93,NA
2024-2025,July,04,ASSAM,0411,DHEMAJI,1283136,246.276228178808,21,117,0.3304,9131,0,38153,1157934,60041,15119,567779,136569,0,2852.04658,53176,79733,127656,299540,6,196246,419622,47284,2851.71618,682292,92,56.42,1.54,99.91,NA
2024-2025,July,04,ASSAM,0414,GOLAGHAT,1255576,248.896394417321,19,42,0,6025,0,23228,487078,35182,14893,88096,34259,0,1212.31958,24409,31869,135380,271123,15,221469,413141,29253,1212.31958,265373,92,21.49,27.09,99.93,NA
2024-2025,July,04,ASSAM,0415,JORHAT,1069836,252.454415181823,14,28,23.16919907,1610,0,8189,376134,23653,8476,47118,11055,0,972.73608907,25448,28341,87420,135272,12,171144,241650,9799,949.56689,238536,78,53.94,14.2,99.97,NA
2024-2025,July,04,ASSAM,0417,DIBRUGARH,1182011,251.793784077982,15,47,33.205128548,2359,0,10600,407888,17641,8152,43219,26863,0,1060.241758548,25666,32453,133659,245593,8,216034,356569,12959,1027.03663,247897,77,58.72,7.85,99.74,NA
2024-2025,July,04,ASSAM,0419,KARBI ANGLONG,444478,245.184389507718,26,25,66.4416868429993,1639,1,18228,800436,25294,9235,657613,128806,0,2028.985806843,30027,35609,90817,172045,7,156936,271694,19867,1962.54412,516562,78,49.59,38.72,99.9,NA
2024-2025,July,04,ASSAM,0422,HAILAKANDI,1019222,299.251123034452,19,46,17.35576548,3545,0,16602,526698,31621,15103,1362,2261,0,1593.50544548,27133,34770,118304,208029,1,168566,270338,20147,1576.14968,204083,89,72.7,3.26,99.93,NA
2024-2025,July,04,ASSAM,0424,BAKSA,834795,248.757057993343,21,42,162.069028,4358,0,32930,711392,28616,7759,365280,75802,0,1931.706838,32618,37979,98552,174953,0,182680,298660,37288,1769.63781,470581,95,30.17,0.57,99.89,NA
2024-2025,July,04,ASSAM,0401,DHUBRI,747535,252.588354440306,18,50,46.9332004,3829,1,22697,765150,5781,2926,664,324,0,1979.6129944,41385,55920,206019,396950,0,387088,688506,26526,1932.679794,376402,83,27.86,27.12,100.2,NA
2024-2025,July,04,ASSAM,0402,KOKRAJHAR,1144605,240.571730343201,23,79,570.65156288,4883,0,36946,1035049,13749,6020,440492,124978,0,3060.68685208,43749,61674,149086,323120,6,259901,540984,41829,2490.0352892,574129,92,55.62,6.42,100.37,NA
2024-2025,July,04,ASSAM,0408,DARRANG,620329,261.062783972145,23,49,192.905449026,3629,0,5502,1047726,26003,7799,2620,1122,0,2928.128113026,44645,66975,145004,283697,14,226903,404896,9131,2735.222664,520816,75,43.96,41.77,99.92,NA
2024-2025,July,04,ASSAM,0410,LAKHIMPUR,1260527,248.133000746612,19,33,247.958531448,4147,0,31090,600044,32223,17254,195613,84995,0,1736.865714448,30934,46202,148641,340045,3,243979,501364,35237,1488.907183,321500,94,52.83,5.84,99.82,NA
2024-2025,July,04,ASSAM,0422,HAILAKANDI,1019222,287.876575806994,19,49,244.736049173,4061,0,16247,579465,35739,15146,2213,2290,0,1912.880049173,30390,38972,118485,208411,1,168692,270678,20308,1668.144,223787,88,72.14,3.13,99.94,NA
2024-2025,July,04,ASSAM,0403,BONGAIGAON,314422,271.794701668989,18,8,182.017559476,6084,0,17646,172979,16268,10930,2405,2283,0,652.165316476,9439,12920,85701,182651,0,158840,322630,23730,470.147757,84077,93,29.01,4.75,99.87,NA
2024-2025,July,04,ASSAM,0405,BARPETA,551792,249.404816250688,22,216,0,7172,0,12479,523104,27815,9369,5983,2621,0,1304.64657,23632,32776,180425,330625,7,291976,494011,19651,1304.64657,251911,88,42.02,0.26,100.03,NA
2024-2025,July,04,ASSAM,0415,JORHAT,1069836,250.486322202695,15,30,24.59300427,1779,0,8057,426750,27273,8462,53076,11065,0,1093.54338427,26790,29900,87359,134884,14,171036,241146,9836,1068.95038,271361,78,54.6,13.4,100.01,NA
2024-2025,July,04,ASSAM,0421,KARIMGANJ,1332259,240.833071915216,14,11,200.387470153,4557,0,37086,330250,53882,26160,4581,2206,0,995.738690153,22079,25614,149896,205154,1,256267,324942,41643,795.35122,153494,95,54.89,2.65,99.92,NA
2024-2025,July,04,ASSAM,0424,BAKSA,834795,247.510171591895,22,42,162.069028,5802,0,31702,779524,31933,7796,395375,76042,0,2091.470218,34020,39795,98853,175527,0,182768,298908,37504,1929.40119,514657,95,29.99,0.57,99.91,NA
2024-2025,July,04,ASSAM,0426,KAMRUP (METRO),200996,251.052759969109,30,0,1.970264244,1026,0,4105,81577,20478,7560,20531,10083,0,206.771574244,2659,3276,15881,34037,1,51486,96242,5131,204.80131,49344,93,20.26,1.75,100.05,NA
2024-2025,July,04,ASSAM,0433,BAJALI,151603,248.943589351675,25,23,0,3503,0,6169,196275,4347,2369,3375,2138,0,488.61403,7842,11312,42782,92879,2,69355,134355,9672,488.61403,103921,92,36.36,0.27,99.69,NA
2024-2025,July,04,ASSAM,0435,TAMULPUR,598756,236.293619108298,18,3,239.15739576,2001,0,23672,218167,25906,16505,108233,51220,0,754.67209576,11720,15197,61468,125768,0,123458,218331,25673,515.5147,127567,94,37.53,1.17,100.54,NA
2024-2025,July,04,ASSAM,0408,DARRANG,620329,257.99313425024,23,48,173.395622786,3533,0,5591,1031730,25725,7800,2594,1123,0,2835.188186786,44136,66165,145090,283816,12,227088,405173,9124,2661.792564,513424,75,43.85,41.72,99.91,NA
2024-2025,July,04,ASSAM,0413,NAGAON,1324778,252.33888493839,18,119,26.95628047,6924,0,27101,1044875,64209,18504,27057,11907,0,2663.58220447,57287,77141,221007,363318,6,389208,575271,34025,2636.625924,545668,89,31.63,20.52,99.93,NA
2024-2025,July,04,ASSAM,0422,HAILAKANDI,1019222,294.976571888412,19,48,244.736049173,3853,0,16377,559200,34932,15138,1975,2266,0,1894.245039173,29197,37480,118365,208184,1,168646,270571,20230,1649.50899,216940,89,72.57,3.24,99.94,NA
2024-2025,July,04,ASSAM,0423,CACHAR,1104820,252.777110324641,21,12,0,9395,0,43384,254866,30199,14491,4271,3325,0,644.24291,12129,12951,163505,213358,0,375423,461645,52779,644.24291,109408,93,18.78,2.38,99.92,NA
2024-2025,July,04,ASSAM,0428,Biswanath,1349798,245.219530781805,22,97,282.353818984,2222,0,21959,710842,60885,15644,118924,39126,0,2025.477235984,31293,42845,109875,198073,9,177263,286361,24181,1743.123417,397436,90,44.57,13.83,100.25,NA
2024-2025,July,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,312100,243.942828641456,15,11,27.2585172,132,0,30710,186457,1731,965,280,681,0,482.1069972,12182,13425,76217,97871,0,138663,169393,30842,454.84848,92160,97,8.15,0.59,99,NA
2024-2025,July,04,ASSAM,0403,BONGAIGAON,314422,273.563120084336,18,8,182.017559476,6042,0,17686,168848,15496,10945,2375,2286,0,643.923416476,9319,12746,85757,183173,0,158917,323221,23728,461.905857,81986,93,29.64,4.87,99.87,NA
2024-2025,July,04,ASSAM,0409,SONITPUR,1327825,246.839676076988,18,24,365.463316997999,5242,0,18444,556552,13940,6581,28409,10181,0,1739.254470998,30878,34256,135991,185005,0,249700,316931,23686,1373.791154,334032,91,46.85,13.46,99.97,NA
2024-2025,July,04,ASSAM,0427,UDALGURI,1360370,248.917677502419,23,29,599.640705023,8297,0,40582,1022141,45301,11996,484962,110615,0,3143.930343023,42690,55595,142184,272495,5,234245,416022,48879,2544.289638,611218,94,36.81,13.5,99.93,NA
2024-2025,July,04,ASSAM,0428,Biswanath,1349798,248.217980392157,22,99,282.353818984,2226,0,22074,719100,62193,15649,120874,39149,0,2067.289315984,31565,43208,109929,198119,9,177288,286342,24300,1784.935497,402147,90,44.35,13.67,100.25,NA
2024-2025,July,04,ASSAM,0432,MAJULI,254462,249.791222825298,19,18,1.8299889,1651,0,7509,206718,23670,5872,100874,24993,0,518.1934089,10721,15710,28945,51641,0,34678,59044,9160,516.36342,98673,94,21.65,10.84,99.93,NA
2024-2025,July,04,ASSAM,0406,NALBARI,785013,248.758980462754,19,20,0,7668,0,20079,403281,15553,7134,12917,4319,0,1003.197704,20702,29258,114214,201786,5,180297,297095,27747,1003.197704,210729,89,32.52,16.81,100.1,NA
2024-2025,July,04,ASSAM,0408,DARRANG,620329,259.169423337198,24,49,242.518853006,3766,0,5389,1092042,26939,7798,2727,1122,0,3072.757807006,45325,68084,144812,283122,17,226478,403868,9155,2830.238954,543178,75,44.65,41.15,99.9,NA
2024-2025,July,04,ASSAM,0423,CACHAR,1104820,254.08944749791,21,16,0,9821,0,43180,291836,33284,14454,4941,3315,0,741.52448,13292,14180,162944,212189,0,374654,460228,53001,741.52448,124452,93,17.63,2.27,99.96,NA
2024-2025,July,04,ASSAM,0425,CHIRANG,769269,250.511674982507,27,15,726.539402176,8062,0,23834,305842,17695,12304,180341,84430,0,1492.709319176,10937,14795,83811,185944,0,140084,291880,31896,766.169917,174436,94,9.9,1.03,99.83,NA
2024-2025,July,04,ASSAM,0427,UDALGURI,1360370,246.221866773128,25,30,605.553089224,11268,0,37963,1117147,49050,11947,528775,110428,0,3356.213287224,44436,58010,142144,271994,12,234014,415021,49231,2750.660198,668755,94,36.48,13.4,99.94,NA
2024-2025,July,04,ASSAM,0429,HOJAI,617838,253.184733193616,19,216,143.301332685,3101,0,20645,372180,53196,20344,17785,5466,0,1085.604272685,19059,24621,89542,155273,0,160227,254234,23746,942.30294,198143,93,30.56,3.88,99.83,NA
2024-2025,July,04,ASSAM,0432,MAJULI,254462,242.277023654831,20,18,1.8299889,1663,0,7580,222407,25352,5878,109650,25036,0,540.6710489,11036,16194,28975,51709,1,34695,59094,9243,538.84106,106169,94,20.75,10.3,99.92,NA
2024-2025,July,04,ASSAM,0401,DHUBRI,747535,255.298939290216,18,51,350.096973264,4871,1,21782,791734,6254,2888,699,318,0,2371.385477264,42178,57043,205237,391016,1,386109,681566,26653,2021.288504,389496,83,28.01,26.08,100.24,NA
2024-2025,July,04,ASSAM,0407,KAMRUP,1183240,254.074968433425,22,36,94.306146537,4129,0,26674,859295,65197,22015,93424,42515,0,2277.559646537,37395,49331,164015,323942,17,362454,657776,30803,2183.2535,449172,92,35.15,31.78,99.93,NA
2024-2025,July,04,ASSAM,0408,DARRANG,620329,258.005662679144,24,50,242.980853006,3816,0,5348,1127099,27235,7792,2926,1121,0,3150.960097006,45774,68771,144678,282710,18,226065,402982,9164,2907.979244,560717,75,44.19,41.11,99.9,NA
2024-2025,July,04,ASSAM,0412,Morigaon,961742,268.508881498443,18,31,31.019261164,18765,0,20675,527107,67710,28649,75001,33543,0,1446.348371164,28413,39233,144766,263902,1,233540,388411,39440,1415.32911,273609,94,27.4,25.12,99.9,NA
2024-2025,July,04,ASSAM,0413,NAGAON,1324778,251.59972162533,19,143,215.644691378,7962,0,26313,1163899,71394,18487,33473,12000,0,3144.011335378,60318,81206,220113,361380,13,387853,572635,34275,2928.366644,608245,89,31.66,20.21,99.96,NA
2024-2025,July,04,ASSAM,0421,KARIMGANJ,1332259,246.365900427819,15,15,461.698231635999,5731,0,36018,385911,61810,25994,5190,2179,0,1412.451341636,24361,28362,147950,202550,3,253037,320920,41749,950.75311,178694,95,55.29,3.03,99.89,NA
2024-2025,July,04,ASSAM,0424,BAKSA,834795,248.160242510732,24,53,206.785017438,6100,0,31770,866106,36574,7869,431323,76264,0,2356.115767438,35862,42165,99155,176000,1,182328,298294,37870,2149.33075,570020,95,29.8,0.53,99.97,NA
2024-2025,July,04,ASSAM,0426,KAMRUP (METRO),200996,248.928488496613,31,0,1.970264244,1134,0,4052,88713,22754,7444,21884,9965,0,222.802194244,2801,3442,15919,33709,1,51472,95810,5186,220.83193,53515,93,19.81,1.68,100.05,NA
2024-2025,July,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,312100,241.615200175016,16,12,80.2526217,147,0,30872,228550,3833,990,328,684,0,632.4641617,13903,15425,76499,98347,0,138751,169559,31019,552.21154,112914,97,9.47,0.48,99.02,NA
2024-2025,July,04,ASSAM,0435,TAMULPUR,598756,237.239485323683,18,3,276.67420346,2090,0,23704,236265,28953,16527,113921,51265,0,837.18807346,12448,16102,61532,125918,0,123491,218450,25794,560.51387,138667,94,38.97,1.55,100.56,NA
2024-2025,July,04,ASSAM,0402,KOKRAJHAR,1144605,245.947453946341,24,81,581.12760698,5627,0,36429,1108001,14560,6038,476023,125166,0,3306.22785618,45108,63581,149375,323663,6,260026,541198,42056,2725.1002492,615192,92,55.7,6.26,100.36,NA
2024-2025,July,04,ASSAM,0408,DARRANG,620329,260.925534026837,23,49,242.518853006,3762,0,5392,1080985,26883,7801,2708,1121,0,3063.084737006,45192,67883,144873,283357,17,226656,404269,9154,2820.565884,537856,75,44.61,41.26,99.92,NA
2024-2025,July,04,ASSAM,0415,JORHAT,1069836,247.997165213977,16,31,24.59300427,1857,0,7990,453297,30432,8254,55285,10574,0,1148.75671427,27368,30592,86703,132689,15,170252,238761,9847,1124.16371,288214,78,54.4,13.28,100.03,NA
2024-2025,July,04,ASSAM,0417,DIBRUGARH,1182011,253.600954862637,16,47,33.205128548,2561,0,10494,455144,18850,8037,48397,26558,0,1187.454658548,26921,34116,130503,239602,20,212295,349769,13055,1154.24953,276849,77,57.15,7.86,99.8,NA
2024-2025,July,04,ASSAM,0421,KARIMGANJ,1332259,235.336323705953,15,14,460.511813035999,4703,0,36971,354025,57294,26146,4720,2196,0,1293.661233036,22987,26703,149603,204704,3,255878,324376,41674,833.14942,164118,95,55.56,2.85,99.92,NA
2024-2025,July,04,ASSAM,0427,UDALGURI,1360370,246.732488305116,24,30,605.553089224,10663,0,38498,1103474,48879,11944,522371,110421,0,3328.181947224,44241,57728,142100,271969,11,234016,415085,49161,2722.628858,660641,94,36.64,13.43,99.96,NA
2024-2025,July,04,ASSAM,0435,TAMULPUR,598756,236.496984360601,18,3,276.59860346,2084,0,23640,228973,27760,16522,111482,51238,0,818.11284346,12134,15709,61503,125843,0,123479,218399,25724,541.51424,134149,94,37.48,1.64,100.51,NA
2024-2025,July,04,ASSAM,0402,KOKRAJHAR,1144605,245.599857385174,25,81,750.365870033,5834,0,36296,1144902,14966,6042,492446,125246,0,3562.243549233,45652,64388,149498,323857,6,260112,541331,42130,2811.8776792,636101,92,56.03,6.15,100.3,NA
2024-2025,July,04,ASSAM,0404,GOALPARA,650362,246.355357524435,23,33,117.82920175,10459,0,16876,631775,12994,7521,100719,51926,0,1674.24076175,27203,38008,112866,241982,1,222063,413168,27335,1556.41156,319636,93,72.43,2.69,99.93,NA
2024-2025,July,04,ASSAM,0418,TINSUKIA,1002104,266.103420247295,15,16,88.269733384,2510,0,10677,266969,4017,2909,30073,17013,0,798.683373384,16712,20119,112180,182146,0,220089,312838,13187,710.41364,161269,80,54.77,6.22,99.99,NA
2024-2025,July,04,ASSAM,0420,Dima Hasao,151667,246.025599258888,24,4,66.485170341,376,0,4278,51814,650,564,48685,41825,0,193.960874341,2119,2672,20430,45536,0,35773,75209,4654,127.475704,22788,80,46.1,7.39,101.54,NA
2024-2025,July,04,ASSAM,0425,CHIRANG,769269,250.170536883884,27,15,730.383402476,8078,0,23821,306882,17695,12304,180800,84440,0,1498.111749476,10966,14841,83819,185973,0,140117,291944,31899,767.728347,175084,94,9.95,1.11,99.83,NA
2024-2025,July,04,ASSAM,0426,KAMRUP (METRO),200996,253.630246211468,31,0,1.970264244,1134,0,4033,87039,22178,7430,21547,9961,0,222.727494244,2765,3402,15899,33676,1,51472,95808,5167,220.75723,52613,93,20.01,1.71,100.05,NA
2024-2025,July,04,ASSAM,0430,CHARAIDEO,411336,252.365913741116,18,21,61.6995893300001,631,0,2073,148576,1417,1276,3057,1954,0,436.65476933,8080,9776,42344,73221,31,84222,131562,2704,374.95518,84665,58,71.27,9.32,99.94,NA
2024-2025,July,04,ASSAM,0432,MAJULI,254462,246.816815792191,20,18,1.8299889,1663,0,7580,222743,25352,5878,109664,25036,0,551.5971689,11036,16194,28975,51709,2,34699,59101,9243,549.76718,106313,94,21.71,10.15,99.93,NA
2024-2025,July,04,ASSAM,0434,WEST KARBI ANGLONG,196101,259.870854936569,21,4,5.842407,533,0,6464,90650,488,1410,83419,38127,0,241.415337,4219,5136,26943,52132,1,63730,113698,6997,235.57293,61364,93,68.72,2.86,99.85,NA
2024-2025,July,04,ASSAM,0401,DHUBRI,747535,254.740082438852,18,50,330.839033964,4822,1,21819,789191,6183,2889,699,324,0,2341.224837964,42034,56852,205471,392308,0,386368,682998,26641,2010.385804,388334,83,28.12,26.32,100.24,NA
2024-2025,July,04,ASSAM,0409,SONITPUR,1327825,246.853130455586,18,25,433.834031526999,5484,0,18352,618632,15874,6575,31238,10123,0,1960.946489527,33235,36949,136022,184951,1,249454,316538,23836,1527.112458,370398,91,47.6,13.02,99.95,NA
2024-2025,July,04,ASSAM,0411,DHEMAJI,1283136,248.772194577696,23,119,437.129257207,12199,0,35621,1307673,71075,15082,635381,134873,0,3690.256077207,55601,83651,127217,297328,13,195509,416954,47820,3253.12682,770723,92,55.07,1.52,99.71,NA
2024-2025,July,04,ASSAM,0421,KARIMGANJ,1332259,246.326113138782,15,15,461.698231635999,5591,0,36141,381938,61429,26057,5202,2186,0,1402.511261636,24160,28115,148872,203604,3,254304,322348,41732,940.81303,176979,95,54.96,3.08,99.9,NA
2024-2025,July,04,ASSAM,0423,CACHAR,1104820,252.388139349231,22,16,0,10185,0,42868,301889,34327,14442,4985,3317,0,761.93203,13634,14545,162790,211938,0,374472,459934,53053,761.93203,128698,93,17.29,2.2,99.99,NA
2024-2025,July,04,ASSAM,0426,KAMRUP (METRO),200996,251.328079120479,31,0,1.970264244,1134,0,4048,87866,22371,7435,21607,9963,0,222.802194244,2777,3413,15911,33692,1,51472,95808,5182,220.83193,53142,93,19.85,1.7,100.05,NA
2024-2025,July,04,ASSAM,0430,CHARAIDEO,411336,252.875650092918,18,21,115.898698431,633,0,2071,149594,1433,1274,3057,1954,0,494.185498431,8102,9801,42313,73059,31,84189,131400,2704,378.2868,85227,58,71.28,9.26,99.94,NA
2024-2025,July,04,ASSAM,0435,TAMULPUR,598756,236.562488500952,18,3,276.67420346,2086,0,23690,233715,28520,16527,113129,51252,0,829.55622346,12307,15928,61519,125891,0,123488,218435,25776,552.88202,137118,94,38.94,1.56,100.53,NA
2024-2025,July,04,ASSAM,0413,NAGAON,1324778,252.874617005911,18,121,150.728068476,7236,0,26876,1088398,67758,18498,30692,11944,0,2903.010342476,58678,78957,220710,362932,7,388779,574734,34112,2752.282274,568088,89,31.47,20.12,99.98,NA
2024-2025,July,04,ASSAM,0420,Dima Hasao,151667,249.133367407786,24,4,48.624831657,360,0,4281,46956,622,564,43865,41816,0,165.607895657,1884,2397,20400,45529,0,35795,75328,4641,116.983064,20613,80,40.77,8.37,101.66,NA
2024-2025,July,04,ASSAM,0425,CHIRANG,769269,249.39108837601,27,14,463.475950169,7972,0,23824,294503,17053,12300,174308,84402,0,1197.940187169,10766,14531,83775,185853,0,140048,291794,31796,734.464237,168015,94,10.23,1.08,99.84,NA
2024-2025,July,04,ASSAM,0428,Biswanath,1349798,247.522664210723,23,101,282.353818984,2486,0,21955,737802,64466,15657,124054,39187,0,2108.580985984,32076,43970,109939,198070,11,177233,286160,24441,1826.227167,412698,90,44.15,13.3,100.27,NA
2024-2025,July,04,ASSAM,0430,CHARAIDEO,411336,252.829303016406,18,21,61.6995893300001,608,0,2092,146101,1411,1286,2999,1960,0,431.08572933,8032,9701,42553,73831,31,84432,132174,2700,369.38614,83278,58,71.37,9.35,99.96,NA
2024-2025,July,04,ASSAM,0435,TAMULPUR,598756,234.10956435777,18,3,239.15739576,2084,0,23620,222545,26393,16518,109980,51229,0,760.15652576,11851,15374,61489,125811,0,123465,218358,25704,520.99913,130028,94,37.48,1.15,100.53,NA
2024-2025,Aug,04,ASSAM,0401,DHUBRI,864998,252.519869172293,20,57,602.944369376,8046,1,19128,1006056,9491,2849,821,315,0,3143.435664376,48332,66498,203266,379805,10,383298,666511,27174,2540.491295,499658,83,26.41,26.13,100.26,NA
2024-2025,Aug,04,ASSAM,0407,KAMRUP,1378491,251.592360932101,27,48,161.282904554,6618,0,25301,1187082,90104,22223,140511,42786,0,3147.890534554,43448,58023,164403,324625,82,361989,656887,31919,2986.60763,625020,92,32.98,29.54,99.98,NA
2024-2025,Aug,04,ASSAM,0412,Morigaon,1123262,261.290252896952,20,36,136.319392252,20758,0,19131,693919,88613,28565,100766,33473,0,1949.462102252,33144,46149,144844,262374,3,232158,384905,39889,1813.14271,363309,94,32.58,23.11,99.89,NA
2024-2025,Aug,04,ASSAM,0414,GOLAGHAT,1464732,249.187629350478,23,54,672.423030887001,12461,0,17175,678776,49543,14970,123579,34367,0,2363.848853887,28417,37608,135533,271484,67,221342,413010,29636,1691.425823,364616,92,20.21,23.23,99.96,NA
2024-2025,Aug,04,ASSAM,0416,SIVASAGAR,1212822,252.458129906896,21,86,193.508682131,3985,0,8863,638642,34265,8463,89135,13809,0,1805.812332131,30409,41697,82984,161725,29,125572,223927,12848,1612.30365,352060,80,41.57,20.09,99.95,NA
2024-2025,Aug,04,ASSAM,0425,CHIRANG,914541,252.457797239238,31,20,801.88092277,13639,0,19209,454802,27522,12404,265488,84983,0,1950.06403377,14666,19917,84189,186846,4,139846,291555,32848,1148.183111,259613,94,11.43,1,99.98,NA
2024-2025,Aug,04,ASSAM,0426,KAMRUP (METRO),239230,246.854902343231,35,0,34.556899644,1503,0,3766,112793,29414,7432,27810,9931,0,312.991949644,3167,3908,15841,33415,1,51319,95388,5269,278.43505,68150,93,18.97,1.56,100.03,NA
2024-2025,Aug,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,361439,247.874852406974,18,22,428.772580307,3393,0,28150,318782,5895,1004,866,686,0,1218.952992307,17307,19372,77007,99258,0,139077,170184,31543,790.180412,151992,97,7.1,0.44,99.32,NA
2024-2025,Aug,04,ASSAM,0435,TAMULPUR,714114,240.3022177865,20,3,296.68026506,4969,0,21277,298586,37597,16590,139813,51375,0,1014.18904506,14769,19044,61899,126442,0,123494,218318,26246,717.50878,176384,94,39.45,1.93,100.62,NA
2024-2025,Aug,04,ASSAM,0402,KOKRAJHAR,1354711,245.338282404299,30,100,791.682225665,15630,0,28392,1756071,23875,5945,773703,125329,0,5099.996654865,57290,81833,150846,323655,92,260721,538691,44022,4308.3144292,973496,92,56.4,5.53,100.51,NA
2024-2025,Aug,04,ASSAM,0415,JORHAT,1247594,252.31119574641,20,32,105.279307553,2905,0,7123,625166,41846,8048,73978,10420,0,1682.643117553,30023,33677,86307,131407,50,169632,237123,10028,1577.36381,397505,78,56.9,11.24,100.05,NA
2024-2025,Aug,04,ASSAM,0421,KARIMGANJ,1550382,245.371545992496,19,22,463.741053135999,14245,0,28157,637267,100879,23299,8904,1763,0,2027.412943136,32263,37538,136486,182782,22,226719,284327,42402,1563.67189,293422,96,57.24,3.52,99.92,NA
2024-2025,Aug,04,ASSAM,0428,Biswanath,1580586,247.575761663524,28,143,551.922513712,4927,0,20397,1118637,91946,14958,197575,37159,0,3321.396586712,39450,54706,105996,183876,51,160059,253111,25324,2769.474073,629871,90,42.79,13.39,100.19,NA
2024-2025,Aug,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,361439,247.656456807846,18,24,472.148524307,3393,0,28200,331588,6371,1007,914,687,0,1293.347616307,17656,19765,77061,99365,0,139177,170374,31593,821.199092,156883,97,6.99,0.43,99.34,NA
2024-2025,Aug,04,ASSAM,0402,KOKRAJHAR,1354711,245.621407027905,29,96,791.682225665,15051,0,28570,1630984,22078,5928,717018,125069,0,4797.728074865,54691,78002,150322,322844,61,260440,538590,43621,4006.0458492,904092,92,56.06,5.66,100.53,NA
2024-2025,Aug,04,ASSAM,0407,KAMRUP,1378491,253.275824553269,27,48,158.333460143,6584,0,25264,1164570,88359,22212,138803,42762,0,3107.907730143,43102,57523,164312,324456,79,361964,656846,31848,2949.57427,612875,92,33.08,29.45,99.98,NA
2024-2025,Aug,04,ASSAM,0409,SONITPUR,1541806,247.924077924041,20,32,476.232265156999,6681,0,17625,833581,23292,6465,41882,9967,0,2542.880273157,40396,45200,134264,179875,5,246046,309407,24306,2066.648008,496360,91,48.67,14.06,100.23,NA
2024-2025,Aug,04,ASSAM,0415,JORHAT,1247594,252.383418227204,20,32,105.279307553,2811,0,7168,602517,39629,8064,70077,10469,0,1625.932307553,29707,33299,86339,131536,42,169679,237271,9979,1520.653,383237,78,56.76,11.5,100.05,NA
2024-2025,Aug,04,ASSAM,0426,KAMRUP (METRO),239230,246.651743679937,35,0,34.556899644,1488,0,3778,112578,29402,7434,27775,9931,0,312.232499644,3167,3907,15842,33422,1,51322,95399,5266,277.6756,68055,93,19.01,1.56,100.03,NA
2024-2025,Aug,04,ASSAM,0407,KAMRUP,1378491,253.641293625302,27,48,161.282904554,6629,0,25291,1188072,90114,22225,140701,42789,0,3174.724094554,43459,58039,164405,324631,82,362038,656969,31920,3013.44119,625580,92,33,29.55,99.98,NA
2024-2025,Aug,04,ASSAM,0411,DHEMAJI,1526414,246.305587543156,26,148,952.03351628,19056,0,30022,1646645,89286,15161,825662,132898,0,5007.81215828,61698,93260,126892,294666,49,194771,413724,49078,4055.778642,971711,92,52.83,1.29,100.03,NA
